"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1910","#TeamTuiteroGlobal dejaré esta colonia x aquí, hiede a miersss,  a ver quien es capaz de aplicarsela el #6D https://t.co/SHqp5dmHe5",FALSE,0,NA,2015-11-19 23:54:00,FALSE,NA,"667491041109524482",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pa_Nita_",0,FALSE,FALSE,NA,NA
"1911","RT @CaprilesPrensa: .@hcapriles: “Esta elección del #6D ya no se trata si Ud estaba del lado del gobierno o de la oposición”",FALSE,0,NA,2015-11-19 23:53:57,FALSE,NA,"667491030594400257",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngeliniAlfredo",10,TRUE,FALSE,NA,NA
"1912","RT @adrianadelia: Miranda esta resteada con el progreso y el #cambio en #Venezuela
Este #6D se vota #AbajoALaIzquierda https://t.co/KOFeSvS…",FALSE,0,NA,2015-11-19 23:53:56,FALSE,NA,"667491026228133888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IvonneBorrero",34,TRUE,FALSE,NA,NA
"1913","RT @CaprilesPrensa: .@hcapriles: “El #6D se trata de si queremos seguir en esta crisis terrible que golpea con más fuerza al interior del p…",FALSE,0,NA,2015-11-19 23:53:53,FALSE,NA,"667491013431291905",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngeliniAlfredo",8,TRUE,FALSE,NA,NA
"1914","RT @adrianadelia: El #6D busca #LaDeLaManito y VOTA por el progreso de #Venezuela https://t.co/GwNSHeXSQS",FALSE,0,NA,2015-11-19 23:53:53,FALSE,NA,"667491013313871872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IvonneBorrero",46,TRUE,FALSE,NA,NA
"1915","RT @chistosito1: QUERIDO PRESIDENTE @NicolasMaduro :
Después del #6D te agradezco RADICALICES ESTA REVOLUCIÓN con #ManoDuraDurisima.  ES UN…",FALSE,0,NA,2015-11-19 23:53:52,FALSE,NA,"667491007441825792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ANGELRAM65",43,TRUE,FALSE,NA,NA
"1916","RT @CaprilesPrensa: .@hcapriles: “Aquí la situación es aún más difícil y el #6D tenemos que hablar si queremos sacar a Venezuela de la cris…",FALSE,0,NA,2015-11-19 23:53:49,FALSE,NA,"667490996993843200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngeliniAlfredo",12,TRUE,FALSE,NA,NA
"1917","RT @adrianadelia: El #6D nuestro pueblo no se confunde en #Guarenas se vota #AbajoALaIzquierda https://t.co/YufUMAj7Nd",FALSE,0,NA,2015-11-19 23:53:45,FALSE,NA,"667490977314131969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IvonneBorrero",20,TRUE,FALSE,NA,NA
"1918","RT @adrianadelia: Los venezolanos hemos decidido cambiar para progresar, este #6D en #Guarenas se vota #AbajoALaIzquierda https://t.co/tkl1…",FALSE,0,NA,2015-11-19 23:53:41,FALSE,NA,"667490964446035968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IvonneBorrero",29,TRUE,FALSE,NA,NA
"1919","RT @PartidoPSUV: La guardianas de Chávez son garantía de la victoria que conseguieremos este #6D. https://t.co/qC3ix6GWmV",FALSE,0,NA,2015-11-19 23:53:40,FALSE,NA,"667490959479975937",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","felmar138",44,TRUE,FALSE,NA,NA
"1920","RT @CaprilesPrensa: .@hcapriles: “El #6D los operativos de comida van a desaparecer y la entrega de línea blanca se va a acabar”",FALSE,0,NA,2015-11-19 23:53:40,FALSE,NA,"667490957705748482",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngeliniAlfredo",12,TRUE,FALSE,NA,NA
"1921","RT @adrianadelia: Tenemos un Gobierno Nacional que no trabaja por solucionar los problemas del país, el #6D  #VenezuelaQuiereCambio https:/…",FALSE,0,NA,2015-11-19 23:53:35,FALSE,NA,"667490936621047808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IvonneBorrero",9,TRUE,FALSE,NA,NA
"1922","RT @CaprilesPrensa: .@hcapriles: “Nosotros el #6D lo que queremos es dar un paso para comenzar a solucionar la crisis que estamos viviendo""",FALSE,0,NA,2015-11-19 23:53:35,FALSE,NA,"667490936402898944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngeliniAlfredo",16,TRUE,FALSE,NA,NA
"1923","RT @PartidoPSUV: Pa' el que no entendió: El pueblo esta organizado para conquistar la victoria del #6D ¡Como Sea! https://t.co/8dZQBTY3s0",FALSE,0,NA,2015-11-19 23:53:31,FALSE,NA,"667490921953566720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cruzmagdaleno",51,TRUE,FALSE,NA,NA
"1924","RT @PartidoPSUV: La guardianas de Chávez son garantía de la victoria que conseguieremos este #6D. https://t.co/qC3ix6GWmV",FALSE,0,NA,2015-11-19 23:53:31,FALSE,NA,"667490920821080064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cesareru",44,TRUE,FALSE,NA,NA
"1925","RT @CaprilesPrensa: .@hcapriles: “Precisamente para que Venezuela no reviente, muy distinto a lo que dice el gobierno, tenemos que buscar u…",FALSE,0,NA,2015-11-19 23:53:25,FALSE,NA,"667490894233366528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngeliniAlfredo",8,TRUE,FALSE,NA,NA
"1926","RT @millantweet: Confía Ud. en @LeonelFernandez como acompañante de la UNASUR en las elecciones del #6D en Vzla. (Vota y RT)",FALSE,0,NA,2015-11-19 23:53:23,FALSE,NA,"667490888424095744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MagdaPerezRam",5,TRUE,FALSE,NA,NA
"1927","RT @albanfernando: A la izquierda 

En la esquina

La de la manito

https://t.co/uk0hp3V3NK #6D",FALSE,0,NA,2015-11-19 23:53:22,FALSE,NA,"667490880933249027",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nayleth2102",3,TRUE,FALSE,NA,NA
"1928","RT @CaprilesPrensa: .@hcapriles: “El #6D les pido que no se dejen intimidar por las amenazas de Maduro y Cabello”",FALSE,0,NA,2015-11-19 23:53:21,FALSE,NA,"667490879372976128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngeliniAlfredo",24,TRUE,FALSE,NA,NA
"1929","RT @BcComando: INAUGURACIÓN DE LA PLANTA POTABILIZADORA ""ELEAZAR LOPEZ CONTRERAS"".#6D GANAMOS COMO SEA! #CarlosLeonPaLaAsamblea https://t.c…",FALSE,0,NA,2015-11-19 23:53:18,FALSE,NA,"667490867918172161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IBIMEGOB",2,TRUE,FALSE,NA,NA
"1930","RT @ArbitroE: #ElÁrbitroEresTÚ
Este #6D tú también eres el árbitro. Tu voto y tu palabra también cuentan. #ÁrbitroElectoral
https://t.co/jb…",FALSE,0,NA,2015-11-19 23:53:18,FALSE,NA,"667490866819432448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VzlaMemoriaPoli",1303,TRUE,FALSE,NA,NA
"1931","RT @jhonnathanmarin: Camaradas vamos a echarle corazón, fuerza, voluntad y disciplina para ganar el #6D como sea #ConLosDeChavezMeResteo ht…",FALSE,0,NA,2015-11-19 23:53:18,FALSE,NA,"667490864940376064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ASUAREZ1981",18,TRUE,FALSE,NA,NA
"1932","RT @CandyGomela: Todos merecemos una mejor calidad de vida. Seamos protagonistas de esta historia #VotaPorVzla #6D @ng_vzla https://t.co/tb…",FALSE,0,NA,2015-11-19 23:53:15,FALSE,NA,"667490853229895680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GomelitaDesigns",1,TRUE,FALSE,NA,NA
"1933","RT @adrianadelia: Seguimos #CasaxCasa enseñando a nuestro pueblo a votar por el #cambio y el progreso, el #6D es #AbajoALaIzquierda https:/…",FALSE,0,NA,2015-11-19 23:53:10,FALSE,NA,"667490831453052929",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IvonneBorrero",18,TRUE,FALSE,NA,NA
"1934","RT @CuatroFDigital: Las mujeres lo dicen: este #6D gana Chávez como sea #ConLosDeChavezMeResteo https://t.co/oIeKEVvRcr",FALSE,0,NA,2015-11-19 23:53:08,FALSE,NA,"667490823680999425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eterno_mesias",9,TRUE,FALSE,NA,NA
"1935","RT @SergioVergaraG: Puerta a puerta estamos trabajando en #Unidad para consolidar el triunfo este #6D #VenezuelaQuiereCambio https://t.co/7…",FALSE,0,NA,2015-11-19 23:53:05,FALSE,NA,"667490812285067264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","D19Luis",34,TRUE,FALSE,NA,NA
"1936","Transparencia Venezuela ha contabilizado 281 denuncias de abuso electoral https://t.co/DSZuUfsxSQ @NoMasGuiso  #6D",FALSE,0,NA,2015-11-19 23:53:04,FALSE,NA,"667490806710693888",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","opinionynoticia",5,FALSE,FALSE,NA,NA
"1937","Camaradas vamos a echarle corazón, fuerza, voluntad y disciplina para ganar el #6D como sea #ConLosDeChavezMeResteo https://t.co/yMMuubGkSX",FALSE,4,NA,2015-11-19 23:53:00,FALSE,NA,"667490789220569088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jhonnathanmarin",18,FALSE,FALSE,NA,NA
"1938","RT @planwac: #6D Diputados d la MUD no han aprobado un solo crédito para vivienda, pensiones, incremento salarial...pero quieren tu voto, p…",FALSE,0,NA,2015-11-19 23:52:59,FALSE,NA,"667490785672196096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CarLongart",32,TRUE,FALSE,NA,NA
"1939","RT @CaprilesPrensa: .@hcapriles: “La unidad es importante todos los días, el #6D es una oportunidad para reafirmar la unión que tenemos los…",FALSE,0,NA,2015-11-19 23:52:58,FALSE,NA,"667490783147270144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngeliniAlfredo",7,TRUE,FALSE,NA,NA
"1940","RT @chistosito1: QUERIDO PRESIDENTE @NicolasMaduro :
Después del #6D te agradezco RADICALICES ESTA REVOLUCIÓN con #ManoDuraDurisima.  ES UN…",FALSE,0,NA,2015-11-19 23:52:58,FALSE,NA,"667490780613840896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LinaRon58",43,TRUE,FALSE,NA,NA
"1941","RT @liliantintori: Con nuestro voto el #6D vamos a liberar a todos los presos políticos, a conquistar nuestra libertad de expresión! https:…",FALSE,0,NA,2015-11-19 23:52:54,FALSE,NA,"667490764184805377",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ayacuchovp",438,TRUE,FALSE,NA,NA
"1942","RT @ReiDiaz: Desde #ElHatillo construyendo un Municipio Accesible Para Todos Invitamos a votar este #6D Venezuela Quiere Cambio https://t.c…",FALSE,0,NA,2015-11-19 23:52:53,FALSE,NA,"667490760049213441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jrdiazpena",6,TRUE,FALSE,NA,NA
"1943","RT @CaprilesPrensa: .@hcapriles: “Lo que nos queda es salir a votar en cambote, con toda la familia, el #6D  tiene que ser un día de ir a v…",FALSE,0,NA,2015-11-19 23:52:51,FALSE,NA,"667490751077576704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","clementinagv",15,TRUE,FALSE,NA,NA
"1944","RT @PartidoPSUV: La guardianas de Chávez son garantía de la victoria que conseguieremos este #6D. https://t.co/qC3ix6GWmV",FALSE,0,NA,2015-11-19 23:52:48,FALSE,NA,"667490738574372864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","erciliammm",44,TRUE,FALSE,NA,NA
